title,publication_date,source,country,summary,url,language
"Who is Cardinal Kevin Farrell, the acting head of the Vatican?","Mon, 21 Apr 2025 23:51:19 GMT",BBC (UK),United Kingdom,The cardinal will oversee the Vatican until a new pontiff is elected.,https://www.bbc.com/news/articles/cly1md6r3l8o,en
Final days of Pope who joined Vatican crowds at Easter despite doctors' advice,"Mon, 21 Apr 2025 18:48:18 GMT",BBC (UK),United Kingdom,"Francis did what he had always done, receiving visitors and meeting people from every walk of life.",https://www.bbc.com/news/articles/c20xd9xnp0wo,en
"Francis was a vocal critic of the powerful, his influence felt far beyond faith","Mon, 21 Apr 2025 14:19:34 GMT",BBC (UK),United Kingdom,"The informal Pope aimed to shift influence from Rome into hands of the faithful, the BBC's Aleem Maqbool writes.",https://www.bbc.com/news/articles/c15v0zdnnjqo,en
"I felt BBC wanted me to leave Match of the Day, says Gary Lineker","Mon, 21 Apr 2025 23:04:10 GMT",BBC (UK),United Kingdom,"The presenter is stepping down from the football show, but will still host World Cup and FA Cup coverage.",https://www.bbc.com/news/articles/cp3116660g4o,en
US stocks and dollar plunge as Trump attacks Fed chair Powell,"Tue, 22 Apr 2025 06:34:50 GMT",BBC (UK),United Kingdom,"The president amps up attack against US central bank boss calling him ""a major loser"" for not lowering interest rates.",https://www.bbc.com/news/articles/ce92y3j9v34o,en
Nationalities of foreign criminals to be published,"Tue, 22 Apr 2025 06:40:48 GMT",BBC (UK),United Kingdom,Data is due to be released by the year's end showing nationalities and crimes of those awaiting deportation.,https://www.bbc.com/news/articles/cdjln7zzz8eo,en
Mission to boldly grow food in space labs blasts off,"Tue, 22 Apr 2025 00:58:53 GMT",BBC (UK),United Kingdom,The mission will explore new ways of reducing the cost of feeding an astronaut.,https://www.bbc.com/news/articles/cp34wzql2xvo,en
"New Israel-Gaza ceasefire plan proposed, Hamas source tells BBC","Tue, 22 Apr 2025 07:05:48 GMT",BBC (UK),United Kingdom,Egyptian and Qatari mediators suggest a truce of up to seven years and a permanent end to the war.,https://www.bbc.com/news/articles/c62xnqlj11lo,en
The Vivienne hid ketamine struggle 'to protect family',"Tue, 22 Apr 2025 05:02:36 GMT",BBC (UK),United Kingdom,James Lee Williams' sister says the family only learned of the drag performer's drug problem after watching Drag Race UK.,https://www.bbc.com/news/articles/c5y5e7y8qv0o,en
Putin suggests Russia open to direct talks with Ukraine,"Tue, 22 Apr 2025 04:04:19 GMT",BBC (UK),United Kingdom,The Russian president's proposal is the first signal of bilateral talks since the early days of the war.,https://www.bbc.com/news/articles/cpq7ywvw1lzo,en
Harvard sues Trump administration over funding freeze,"Mon, 21 Apr 2025 22:11:28 GMT",BBC (UK),United Kingdom,The suit is part of a feud that escalated when the institution rejected a list of demands from the Trump administration.,https://www.bbc.com/news/articles/c4grwkyxgjwo,en
"US sets tariffs of up to 3,521% on South East Asia solar panels","Tue, 22 Apr 2025 06:49:22 GMT",BBC (UK),United Kingdom,Several Chinese solar companies with factories across the region could face steep new tariffs.,https://www.bbc.com/news/articles/c5ygdv47vlzo,en
China executes man who stabbed Japanese school boy,"Tue, 22 Apr 2025 05:44:12 GMT",BBC (UK),United Kingdom,Zhong Changchun was sentenced to death in January for attacking the boy who later died of his injuries.,https://www.bbc.com/news/articles/c2kv93y4289o,en
Island where Stormzy wrote album on sale for £25m,"Tue, 22 Apr 2025 06:04:43 GMT",BBC (UK),United Kingdom,"Osea Island, a secluded retreat reached by a causeway, is popular with stars seeking privacy.",https://www.bbc.com/news/articles/czx410p5kxpo,en
Canada's top candidates talk up fossil fuels as climate slips down agenda,"Mon, 21 Apr 2025 23:16:49 GMT",BBC (UK),United Kingdom,"Amid tariff threats from the US, energy and economic security are key issues in Canada's federal election.",https://www.bbc.com/news/articles/c87pev3jpyyo,en
Attempts to reach ceasefire in Ukraine littered with years of failure,"Mon, 21 Apr 2025 09:05:19 GMT",BBC (UK),United Kingdom,"The 30-hour ""Easter truce"" and the reported violations underscore the difficulty in securing even a brief pause in fighting.",https://www.bbc.com/news/articles/c1wdllj8lwxo,en
